empty,source,author_year,col_no_need1,np,erm_id,material_type,col_no_need2,material_type_name,mie_described_in_paper,col_no_need3,ke_id,col_no_need4,related_ke_id,primary_size_descriptor,primary_size,col_no_need6,primary_size_qualifier,primary_size_unit,normalized_primary_size,primary_size_method,primary_size_instrument,col_no_need7,col_no_need8,bundle_diameter,col_no_need9,bundle_diameter_qualifier,bundle_diameter_unit,normalized_bundle_diameter,bundle_diameter_method,diameter,col_no_need10,diameter_qualifier,diameter_unit,normalized_diameter,diameter_method,diameter_instrument,hydrodynamic_diameter,col_no_need11,hydrodynamic_diameter_qualifier,hydrodynamic_diameter_unit,normalized_hydrodynamic_diameter,hydrodynamic_diameter_medium,hydrodynamic_diameter_method,hydrodynamic_diameter_instrument,surface_area,col_no_need13,surface_area_qualifier,surface_area_unit,normalized_surface_area,surface_area_method,shape,shape_method,zeta_potential,col_no_need17,zeta_potential_qualifier,zeta_potential_unit,normalized_zeta_potential,zeta_potential_medium,zeta_potential_instrument,col_no_need18,col_no_need19,col_no_need20,col_no_need21,col_no_need22,col_no_need23,col_no_need24,col_no_need25,col_no_need26,col_no_need27,col_no_need28,col_no_need29,col_no_need30,col_no_need31,col_no_need32,col_no_need33,col_no_need34,col_no_need35,col_no_need36,col_no_need37,col_no_need38,col_no_need39,col_no_need40,col_no_need41,col_no_need42,col_no_need43,col_no_need44,col_no_need45,col_no_need46,ref_title,ref_year,ref_journal,ref_doi,ref_author1_last_name,ref_author1_first_name,ref_author2_last_name,ref_author2_first_name,ref_author3_last_name,ref_author3_first_name,ref_author_other,row_id
,3,Nikota_2017,Yes,MWCNT (Mitsui XNRi-7),https://nanocommons.github.io/identifiers/registry#ERM00000099,http://purl.bioontology.org/ontology/npo#NPO_354,Yes,multi-walled carbon nanotubes,Cellular sensing of substance or substance induced damage,,1437,,1437,length,3.86,,,μm,3860,TEM/EDS,Philips CM20,,,,,,,,,49,,13.4,nm,49,TEM/EDS,Philips CM20,,,,,,,,,,,,,,,tube,TEM,-11,,,mV,-11,dispersion medium (DM),Malvern Zetasizer Nano ZS,,,,,,mice serum,,,,,,,,,Fe,0.3,%,ICP-MS,,,,,,,,,,,,Stat-6 signaling pathway and not Interleukin-1 mediates multi-walled carbon nanotube-induced lung fibrosis in mice: insights from an adverse outcome pathway framework,2017,Part Fibre Toxicol,10.1186/s12989-017-0218-0,Nikota,J.,Banville,A.,Goodwin,L. R.,et al.,1
,3,Nikota_2017,Yes,MWCNT (Mitsui XNRi-7),https://nanocommons.github.io/identifiers/registry#ERM00000099,http://purl.bioontology.org/ontology/npo#NPO_354,Yes,multi-walled carbon nanotubes,Cellular sensing of substance or substance induced damage,,1437,,1459,length,3.86,,,μm,3860,TEM/EDS,Philips CM20,,,,,,,,,49,,13.4,nm,49,TEM/EDS,Philips CM20,,,,,,,,,,,,,,,tube,TEM,-11,,,mV,-11,dispersion medium (DM),Malvern Zetasizer Nano ZS,,,,,,mice serum,,,,,,,,,Fe,0.3,%,ICP-MS,,,,,,,,,,,,Stat-6 signaling pathway and not Interleukin-1 mediates multi-walled carbon nanotube-induced lung fibrosis in mice: insights from an adverse outcome pathway framework,2017,Part Fibre Toxicol,10.1186/s12989-017-0218-0,Nikota,J.,Banville,A.,Goodwin,L. R.,et al.,2
,4,Ma_2016,Yes,MWCNTS-COOH,https://nanocommons.github.io/identifiers/registry#ERM00000100,http://purl.bioontology.org/ontology/npo#NPO_354,Maybe,multi-walled carbon nanotubes,Induction of IL1β and TNFα,,NA,,1492,length,250-450,,,nm,350,TEM,,,,,,,,,,22.85,,2.35,nm,22.85,,,100,,0.96,nm,100,water,DLS,,,,,,,,tube,TEM,-21.2,SD,2.68,mV,-21.2,water,Malvern Zetasizer Nano ZS,,,,,,carboxyl,,,,,,,,,heavy metals,<0.8,ppb,ICP-MS,Agilent 7500 ICP-MS,31.55,ppb,GC-MS,,0.095,EU/ml,LAL,,,,Carbon nanotubes stimulate synovial inflammation by inducing systemic pro-inflammatory cytokines.,2016,Nanoscale,10.1039/C6NR06041B,Ma,J.,Li,R.,Qu,G.,et al.,3
,4,Ma_2016,Yes,MWCNTS-COOH,https://nanocommons.github.io/identifiers/registry#ERM00000100,http://purl.bioontology.org/ontology/npo#NPO_354,Maybe,multi-walled carbon nanotubes,Induction of IL1β and TNFα,,NA,,134,length,250-450,,,nm,350,TEM,,,,,,,,,,22.85,,2.35,nm,22.85,,,100,,0.96,nm,100,water,DLS,,,,,,,,tube,TEM,-21.2,SD,2.68,mV,-21.2,water,Malvern Zetasizer Nano ZS,,,,,,carboxyl,,,,,,,,,heavy metals,<0.8,ppb,ICP-MS,Agilent 7500 ICP-MS,31.55,ppb,GC-MS,,0.095,EU/ml,LAL,,,,Carbon nanotubes stimulate synovial inflammation by inducing systemic pro-inflammatory cytokines.,2016,Nanoscale,10.1039/C6NR06041B,Ma,J.,Li,R.,Qu,G.,et al.,4
,4,Ma_2016,Yes,MWCNTS-COOH,https://nanocommons.github.io/identifiers/registry#ERM00000100,http://purl.bioontology.org/ontology/npo#NPO_354,Maybe,multi-walled carbon nanotubes,Induction of IL1β and TNFα,,NA,,1579,length,250-450,,,nm,350,TEM,,,,,,,,,,22.85,,2.35,nm,22.85,,,100,,0.96,nm,100,water,DLS,,,,,,,,tube,TEM,-21.2,SD,2.68,mV,-21.2,water,Malvern Zetasizer Nano ZS,,,,,,carboxyl,,,,,,,,,heavy metals,<0.8,ppb,ICP-MS,Agilent 7500 ICP-MS,31.55,ppb,GC-MS,,0.095,EU/ml,LAL,,,,Carbon nanotubes stimulate synovial inflammation by inducing systemic pro-inflammatory cytokines.,2016,Nanoscale,10.1039/C6NR06041B,Ma,J.,Li,R.,Qu,G.,et al.,5
,4,Ma_2016,Yes,MWCNTS-COOH,https://nanocommons.github.io/identifiers/registry#ERM00000100,http://purl.bioontology.org/ontology/npo#NPO_354,Maybe,multi-walled carbon nanotubes,Induction of IL1β and TNFα,,NA,,1577,length,250-450,,,nm,350,TEM,,,,,,,,,,22.85,,2.35,nm,22.85,,,100,,0.96,nm,100,water,DLS,,,,,,,,tube,TEM,-21.2,SD,2.68,mV,-21.2,water,Malvern Zetasizer Nano ZS,,,,,,carboxyl,,,,,,,,,heavy metals,<0.8,ppb,ICP-MS,Agilent 7500 ICP-MS,31.55,ppb,GC-MS,,0.095,EU/ml,LAL,,,,Carbon nanotubes stimulate synovial inflammation by inducing systemic pro-inflammatory cytokines.,2016,Nanoscale,10.1039/C6NR06041B,Ma,J.,Li,R.,Qu,G.,et al.,6
,4,Ma_2016,Yes,MWCNTS-COOH,https://nanocommons.github.io/identifiers/registry#ERM00000100,http://purl.bioontology.org/ontology/npo#NPO_354,Maybe,multi-walled carbon nanotubes,Induction of IL1β and TNFα,,NA,,1496,length,250-450,,,nm,350,TEM,,,,,,,,,,22.85,,2.35,nm,22.85,,,100,,0.96,nm,100,water,DLS,,,,,,,,tube,TEM,-21.2,SD,2.68,mV,-21.2,water,Malvern Zetasizer Nano ZS,,,,,,carboxyl,,,,,,,,,heavy metals,<0.8,ppb,ICP-MS,Agilent 7500 ICP-MS,31.55,ppb,GC-MS,,0.095,EU/ml,LAL,,,,Carbon nanotubes stimulate synovial inflammation by inducing systemic pro-inflammatory cytokines.,2016,Nanoscale,10.1039/C6NR06041B,Ma,J.,Li,R.,Qu,G.,et al.,7
,4,Ma_2016,Yes,MWCNTS-COOH,https://nanocommons.github.io/identifiers/registry#ERM00000100,http://purl.bioontology.org/ontology/npo#NPO_354,Maybe,multi-walled carbon nanotubes,Induction of IL1β and TNFα,,NA,,1492,length,250-450,,,nm,350,TEM,,,,,,,,,,22.85,,2.35,nm,22.85,,,661,,31.14,nm,661,PBS,DLS,,,,,,,,tube,TEM,-25.1,SD,0.94,mV,-25.1,PBS,Malvern Zetasizer Nano ZS,,,,,,carboxyl,,,,,,,,,heavy metals,<0.8,ppb,ICP-MS,Agilent 7500 ICP-MS,31.55,ppb,GC-MS,,0.095,EU/ml,LAL,,,,Carbon nanotubes stimulate synovial inflammation by inducing systemic pro-inflammatory cytokines.,2016,Nanoscale,10.1039/C6NR06041B,Ma,J.,Li,R.,Qu,G.,et al.,8
,4,Ma_2016,Yes,MWCNTS-COOH,https://nanocommons.github.io/identifiers/registry#ERM00000100,http://purl.bioontology.org/ontology/npo#NPO_354,Maybe,multi-walled carbon nanotubes,Induction of IL1β and TNFα,,NA,,134,length,250-450,,,nm,350,TEM,,,,,,,,,,22.85,,2.35,nm,22.85,,,661,,31.14,nm,661,PBS,DLS,,,,,,,,tube,TEM,-25.1,SD,0.94,mV,-25.1,PBS,Malvern Zetasizer Nano ZS,,,,,,carboxyl,,,,,,,,,heavy metals,<0.8,ppb,ICP-MS,Agilent 7500 ICP-MS,31.55,ppb,GC-MS,,0.095,EU/ml,LAL,,,,Carbon nanotubes stimulate synovial inflammation by inducing systemic pro-inflammatory cytokines.,2016,Nanoscale,10.1039/C6NR06041B,Ma,J.,Li,R.,Qu,G.,et al.,9
,4,Ma_2016,Yes,MWCNTS-COOH,https://nanocommons.github.io/identifiers/registry#ERM00000100,http://purl.bioontology.org/ontology/npo#NPO_354,Maybe,multi-walled carbon nanotubes,Induction of IL1β and TNFα,,NA,,1579,length,250-450,,,nm,350,TEM,,,,,,,,,,22.85,,2.35,nm,22.85,,,661,,31.14,nm,661,PBS,DLS,,,,,,,,tube,TEM,-25.1,SD,0.94,mV,-25.1,PBS,Malvern Zetasizer Nano ZS,,,,,,carboxyl,,,,,,,,,heavy metals,<0.8,ppb,ICP-MS,Agilent 7500 ICP-MS,31.55,ppb,GC-MS,,0.095,EU/ml,LAL,,,,Carbon nanotubes stimulate synovial inflammation by inducing systemic pro-inflammatory cytokines.,2016,Nanoscale,10.1039/C6NR06041B,Ma,J.,Li,R.,Qu,G.,et al.,10
